answerID,used,category,manualRank,catID
mode-before,TRUE,Before,2,57
mode-during,TRUE,During,2,58
mode-after,TRUE,After,2,59
disasterType-drought,TRUE,Drought,5,39
disasterType-extreme-heat,TRUE,Extreme heat,5,40
disasterType-flooding,TRUE,Flooding,5,3
disasterType-hurricane,TRUE,Hurricanes/ tropical storms,5,2
disasterType-severe-storms,TRUE,Severe storms,5,41
disasterType-tornadoes,TRUE,Tornadoes,5,42
disasterType-wildfires,TRUE,Wildfires,5,4
disasterType-winter-storms,TRUE,Winter storms,5,9
disasterType-other,TRUE,Other,2,43
size-1,TRUE,Solo operator,5,121
size-5,TRUE,Small newsroom,3,122
size-10,TRUE,Medium newsroom,3,123
size-25,TRUE,Large newsroom,2,124
size-26,TRUE,Large newsroom,2,124
size-10,TRUE,Small newsroom,2,122
size-25,TRUE,Medium newsroom,2,123
distribPlatforms-web,TRUE,Digital,5,125
distribPlatforms-print,TRUE,Print,3,126
distribPlatforms-social,TRUE,Social media,5,127
distribPlatforms-email,TRUE,Newsletter,5,128
distribPlatforms-audio,TRUE,Radio/ podcast,5,130
distribPlatforms-video,TRUE,TV/ video,5,152
distribPlatforms-sms,TRUE,SMS/ text alerts,5,129
distribPlatforms-web,TRUE,Distribution channel disruption,4,109
distribPlatforms-print,TRUE,Distribution channel disruption,1,109
distribPlatforms-social,TRUE,Distribution channel disruption,4,109
distribPlatforms-email,TRUE,Distribution channel disruption,4,109
distribPlatforms-audio,TRUE,Distribution channel disruption,3,109
distribPlatforms-video,TRUE,Distribution channel disruption,2,109
distribPlatforms-sms,TRUE,Distribution channel disruption,5,109
distribPlatforms-web,TRUE,Technical resiliency,3,10
distribPlatforms-print,TRUE,Equipment &amp; workspace,2,154
distribPlatforms-social,TRUE,Fact-checking &amp; misinformation,5,118
distribPlatforms-email,TRUE,Audience engagement,3,115
distribPlatforms-audio,TRUE,Technical resiliency,3,10
distribPlatforms-video,TRUE,Technical resiliency,3,10
distribPlatforms-sms,TRUE,Audience engagement,5,115
designee-true,TRUE,Staff communication,3,111
designee-false,TRUE,Community partnerships,5,116
designee-true,TRUE,Staff safety,3,110
designee-false,TRUE,Staff capacity,5,112
designee-true,TRUE,Leadership &amp; decision-making,3,155
designee-false,TRUE,Staff safety,5,110
emsContact-true,TRUE,Field reporting,3,119
emsContact-false,TRUE,Community partnerships,5,116
emsContact-true,TRUE,Fact-checking &amp; misinformation,2,118
emsContact-false,TRUE,Fact-checking &amp; misinformation,3,118
offlineResiliency-3,TRUE,Equipment &amp; workspace,2,154
offlineResiliency-2,TRUE,Equipment &amp; workspace,3,154
offlineResiliency-1,TRUE,Equipment &amp; workspace,4,154
offlineResiliency-0,TRUE,Equipment &amp; workspace,5,154
offlineResiliency-3,TRUE,Power &amp; connectivity,2,107
offlineResiliency-2,TRUE,Power &amp; connectivity,3,107
offlineResiliency-1,TRUE,Power &amp; connectivity,4,107
offlineResiliency-0,TRUE,Power &amp; connectivity,5,107
offlineResiliency-3,TRUE,Leadership &amp; decision-making,1,155
offlineResiliency-2,TRUE,Leadership &amp; decision-making,2,155
offlineResiliency-1,TRUE,Leadership &amp; decision-making,4,155
offlineResiliency-0,TRUE,Leadership &amp; decision-making,5,155
safetyGuidelines-true,TRUE,Staff safety,2,110
safetyGuidelines-false,TRUE,Staff safety,5,110
safetyGuidelines-true,TRUE,Field reporting,2,119
safetyGuidelines-false,TRUE,Field reporting,5,119
activeReporting-true,TRUE,Staff safety,5,110
activeReporting-false,TRUE,Staff safety,1,110
activeReporting-true,TRUE,Field reporting,5,119
activeReporting-false,TRUE,Field reporting,3,119
activeReporting-true,TRUE,Staff communication,5,111
activeReporting-false,TRUE,Staff communication,2,111
activeReporting-true,TRUE,Staff capacity,5,112
activeReporting-false,TRUE,Staff capacity,1,112
pubSituation-4,TRUE,Distribution channel disruption,1,109
pubSituation-3,TRUE,Distribution channel disruption,2,109
pubSituation-2,TRUE,Distribution channel disruption,3,109
pubSituation-1,TRUE,Distribution channel disruption,4,109
pubSituation-0,TRUE,Distribution channel disruption,5,109
pubSituation-4,TRUE,Power &amp; connectivity,1,107
pubSituation-3,TRUE,Social media,2,127
pubSituation-2,TRUE,Equipment &amp; workspace,3,154
pubSituation-1,TRUE,Equipment &amp; workspace,4,154
pubSituation-0,TRUE,Equipment &amp; workspace,5,154
pubSituation-4,TRUE,Fact-checking &amp; misinformation,1,118
pubSituation-3,TRUE,Power &amp; connectivity,2,107
pubSituation-2,TRUE,Power &amp; connectivity,3,107
pubSituation-1,TRUE,Power &amp; connectivity,4,107
pubSituation-0,TRUE,Power &amp; connectivity,5,107
pubSituation-4,TRUE,Audience engagement,2,115
pubSituation-3,TRUE,SMS/ text alerts,2,129
pubSituation-2,TRUE,Community partnerships,3,116
pubSituation-1,TRUE,Community partnerships,4,116
pubSituation-0,TRUE,Community partnerships,5,116
contactPlan-true,TRUE,Staff communication,2,111
contactPlan-false,TRUE,Staff communication,5,111
contactPlan-true,TRUE,Staff wellbeing,3,113
contactPlan-false,TRUE,Staff wellbeing,3,113
audienceDemand-3,TRUE,Audience engagement,2,115
audienceDemand-2,TRUE,Audience engagement,3,115
audienceDemand-1,TRUE,Audience engagement,4,115
audienceDemand-0,TRUE,Audience engagement,5,115
audienceDemand-3,TRUE,Community partnerships,2,116
audienceDemand-2,TRUE,Community partnerships,3,116
audienceDemand-1,TRUE,Community partnerships,4,116
audienceDemand-0,TRUE,Community partnerships,5,116
audienceDemand-3,TRUE,Mutual aid &amp; peer learning,3,156
audienceDemand-2,TRUE,Mutual aid &amp; peer learning,3,156
audienceDemand-1,TRUE,Mutual aid &amp; peer learning,3,156
audienceDemand-0,TRUE,Mutual aid &amp; peer learning,3,156
disInfo-3,TRUE,Fact-checking &amp; misinformation,2,118
disInfo-2,TRUE,Fact-checking &amp; misinformation,3,118
disInfo-1,TRUE,Fact-checking &amp; misinformation,4,118
disInfo-0,TRUE,Fact-checking &amp; misinformation,5,118
mentalHealth-access,TRUE,Staff wellbeing,5,113
mentalHealth-timeoff,TRUE,Staff wellbeing,5,113
mentalHealth-checkins,TRUE,Staff wellbeing,5,113
mentalHealth-training,TRUE,Staff wellbeing,5,113
mentalHealth-breaks,TRUE,Staff wellbeing,5,113
mentalHealth-peer,TRUE,Staff wellbeing,5,113
mentalHealth-none,TRUE,Staff wellbeing,5,113
mentalHealth-access,TRUE,Staff safety,2,110
mentalHealth-timeoff,TRUE,Staff safety,2,110
mentalHealth-checkins,TRUE,Staff safety,2,110
