slug,answer,mode
emergency-preparedness,before,before
during-crisis-response,during,during
post-emergency-recovery,after,after
individual-household,1,
small-group-5,5,
medium-group-10,10,
large-group-25,25,
very-large-group-26plus,26,
offline-basic,0,
offline-moderate,1,
offline-good,2,
offline-excellent,3,
publication-none,0,
publication-internal,1,
publication-community,2,
publication-regional,3,
publication-national,4,
disinfo-minimal,0,
disinfo-moderate,1,
disinfo-significant,2,
disinfo-severe,3,
